TestId,Ratingposition,TestVersion,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,UserName
2929759,1,B2,A,,249,,,,R3841580
2929763,1,B2,A,,4294,,,,Q3841584
2973750,1,B2,A,,4476,,,,C3886310
2973762,1,B2,I2,I-MF,4314,,,,C3886322
2973798,1,B2,I5,,3545,,,,S3886358
2973862,1,B2,I1,I-MM,3354,,,,C3886422
2897200,1,B2,I5,,249,3354,,,Q3805864
2810006,1,B2,I5,,4526,,,,A3710396
2974124,1,B2,I4,,4526,,,,P3886813
2974132,1,B2,I2,I-MM,3545,,,,P3886821
2974140,1,B2,I2,I-MM,4476,,,,F3886829
2974183,1,B2,I4,I-MF,3888,,,,Y3886872
2974218,1,B2,I4,I-MM,4476,,,,E3886907
2974230,1,B2,I3,I-MF,3886,,,,Z3886919
2974261,1,B2,I5,,3400,,,,X3886950
2974333,1,B2,I4,,3545,,,,R3887022
2974390,1,B2,I3,I-MF,3888,,,,W3887079
2974426,1,B2,I3,I-MM,3545,,,,D3887115
2974434,1,B2,I4,I-MF,3545,,,,P3887124
2974438,1,B2,I5,,3400,,,,H3887128
2974474,1,B2,I5,,3947,,,,M3887164
2974533,1,B2,I5,,473,,,,Z3887223
2975903,1,B2,I4,,4314,,,,N3888748
2929993,1,A2,I4,,4314,,,,F3842055
2930053,1,A2,I4,,4294,,,,G3842115
2937337,1,A2,I4,,4145,,,,S3849511
2937337,1,A2,I4,,4145,,,,S3849511
2930053,1,A2,I4,,4294,,,,G3842115
2929993,1,A2,I4,,4314,,,,F3842055
2929763,1,B2,A,,4294,,,,Q3841584
2929759,1,B2,A,,249,,,,R3841580
2810006,1,B2,I5,,4526,,,,A3710396
2897200,1,B2,I5,,249,3354,,,Q3805864
2974183,1,B2,I4,I-MF,3888,,,,Y3886872
2974140,1,B2,I2,I-MM,4476,,,,F3886829
2974132,1,B2,I2,I-MM,3545,,,,P3886821
2974124,1,B2,I4,,4526,,,,P3886813
2973862,1,B2,I1,I-MM,3354,,,,C3886422
2973798,1,B2,I5,,3545,,,,S3886358
2973762,1,B2,I2,I-MM,4314,,,,C3886322
2973750,1,B2,A,,4476,,,,C3886310
2975903,1,B2,I4,,4314,,,,N3888748
2974533,1,B2,I5,,473,,,,Z3887223
2974474,1,B2,I5,,3947,,,,M3887164
2974438,1,B2,I5,,3400,,,,H3887128
2974434,1,B2,I4,I-MM,3545,,,,P3887124
2974426,1,B2,I3,I-MF,3545,,,,D3887115
2974390,1,B2,I3,I-MF,3888,,,,W3887079
2974333,1,B2,I4,,3545,,,,R3887022
2974261,1,B2,I5,,3400,,,,X3886950
2974230,1,B2,I3,I-MF,3886,,,,Z3886919
2974218,1,B2,I4,I-MF,4476,,,,E3886907
2974218,1,B2,I4,I-MF,4476,,,,E3886907
2974230,1,B2,I3,I-MM,3886,,,,Z3886919
2974261,1,B2,I5,,3400,,,,X3886950
2974333,1,B2,I4,,3545,,,,R3887022
2974390,1,B2,I3,I-MM,3888,,,,W3887079
2974426,1,B2,I3,I-MF,3545,,,,D3887115
2974434,1,B2,I4,I-MF,3545,,,,P3887124
2974438,1,B2,I5,,3400,,,,H3887128
2974474,1,B2,I5,,3947,,,,M3887164
2974533,1,B2,I5,,473,,,,Z3887223
2975903,1,B2,I4,,4314,,,,N3888748
2973750,1,B2,A,,4476,,,,C3886310
2973762,1,B2,I2,I-NE,4314,,,,C3886322
2973798,1,B2,I5,,3545,,,,S3886358
2973862,1,B2,I1,I-SE,3354,,,,C3886422
2974124,1,B2,I4,,4526,,,,P3886813
2974132,1,B2,I2,I-MF,3545,,,,P3886821
2974140,1,B2,I2,I-MF,4476,,,,F3886829
2974183,1,B2,I4,I-MF,3888,,,,Y3886872
2897200,1,B2,I5,,249,3354,,,Q3805864
2810006,1,B2,I5,,4526,,,,A3710396
2929759,1,B2,A,,249,,,,R3841580
2929763,1,B2,A,,4294,,,,Q3841584
2973750,1,B2,A,A-MM,4476,,,,C3886310
2975903,1,B2,I4,A-NE,4314,,,,N3888748
2929763,1,B2,A,A-MF,4294,,,,Q3841584
2929759,1,B2,A,A-MF,249,,,,R3841580
2810006,1,B2,I5,A-SE,4526,,,,A3710396
2897200,1,B2,I5,A-MM,249,3354,,,Q3805864
2974183,1,B2,I4,A-NE,3888,,,,Y3886872
2974140,1,B2,I2,A-NE,4476,,,,F3886829
2974132,1,B2,I2,A-NE,3545,,,,P3886821
2974124,1,B2,I4,A-NE,4526,,,,P3886813
2973862,1,B2,I1,A-NE,3354,,,,C3886422
2973798,1,B2,I5,A-MM,3545,,,,S3886358
2973762,1,B2,I2,A-NE,4314,,,,C3886322
2974533,1,B2,I5,A-MM,473,,,,Z3887223
2974474,1,B2,I5,A-SE,3947,,,,M3887164
2974438,1,B2,I5,A-SE,3400,,,,H3887128
2974434,1,B2,I4,A-NE,3545,,,,P3887124
2974426,1,B2,I3,A-NE,3545,,,,D3887115
2974390,1,B2,I3,A-NE,3888,,,,W3887079
2974333,1,B2,I4,A-SE,3545,,,,R3887022
2974261,1,B2,I5,A-SE,3400,,,,X3886950
2974230,1,B2,I3,A-NE,3886,,,,Z3886919
2974218,1,B2,I4,A-NE,4476,,,,E3886907
2974218,1,B2,I4,A-NE,4476,,,,E3886907
2974230,1,B2,I3,A-NE,3886,,,,Z3886919
2974261,1,B2,I5,A-SE,3400,,,,X3886950
2974333,1,B2,I4,A-SE,3545,,,,R3887022
2974390,1,B2,I3,A-NE,3888,,,,W3887079
2974426,1,B2,I3,A-NE,3545,,,,D3887115
2974434,1,B2,I4,A-SE,3545,,,,P3887124
2974438,1,B2,I5,A-MM,3400,,,,H3887128
2974474,1,B2,I5,A-MM,3947,,,,M3887164
2974533,1,B2,I5,A-SE,473,,,,Z3887223
2975903,1,B2,I4,A-SE,4314,,,,N3888748
2973750,1,B2,A,A-MM,4476,,,,C3886310
2973762,1,B2,I2,A-NE,4314,,,,C3886322
2973798,1,B2,I5,A-SE,3545,,,,S3886358
2973862,1,B2,I1,A-NE,3354,,,,C3886422
2974124,1,B2,I4,A-SE,4526,,,,P3886813
2974132,1,B2,I2,A-NE,3545,,,,P3886821
2974140,1,B2,I2,A-NE,4476,,,,F3886829
2974183,1,B2,I4,A-NE,3888,,,,Y3886872
2897200,1,B2,I5,A-MM,249,3354,,,Q3805864
2810006,1,B2,I5,A-MM,4526,,,,A3710396
2929759,1,B2,A,A-MF,249,,,,R3841580
2929763,1,B2,A,A-MF,4294,,,,Q3841584
2929763,1,B2,A,A-MF,4294,,,,Q3841584
2929759,1,B2,A,A-MF,249,,,,R3841580
2810006,1,B2,I5,A-MM,4526,,,,A3710396
2897200,1,B2,I5,A-MF,249,3354,,,Q3805864
2974183,1,B2,I4,A-NE,3888,,,,Y3886872
2974140,1,B2,I2,A-NE,4476,,,,F3886829
2974132,1,B2,I2,A-NE,3545,,,,P3886821
2974124,1,B2,I4,A-SE,4526,,,,P3886813
2973862,1,B2,I1,A-NE,3354,,,,C3886422
2973798,1,B2,I5,A-SE,3545,,,,S3886358
2973762,1,B2,I2,A-NE,4314,,,,C3886322
2973750,1,B2,A,A-MM,4476,,,,C3886310
2975903,1,B2,I4,A-SE,4314,,,,N3888748
2974533,1,B2,I5,A-MF,473,,,,Z3887223
2974474,1,B2,I5,A-SE,3947,,,,M3887164
2974438,1,B2,I5,A-SE,3400,,,,H3887128
2974434,1,B2,I4,A-NE,3545,,,,P3887124
2974426,1,B2,I3,A-NE,3545,,,,D3887115
2974390,1,B2,I3,A-NE,3888,,,,W3887079
2974333,1,B2,I4,A-SE,3545,,,,R3887022
2974261,1,B2,I5,A-MM,3400,,,,X3886950
2974230,1,B2,I3,A-NE,3886,,,,Z3886919
2974218,1,B2,I4,A-SE,4476,,,,E3886907
2929993,1,A2,I4,I-MF,4314,,,,F3842055
2930053,1,A2,I4,I-MF,4294,,,,G3842115
2937337,1,A2,I4,I-MF,4145,,,,S3849511
2937337,1,A2,I4,I-MF,4145,,,,S3849511
2930053,1,A2,I4,I-MF,4294,,,,G3842115
2929993,1,A2,I4,I-MF,4314,,,,F3842055
2929993,1,A2,I4,I-MF,4314,,,,F3842055
2930053,1,A2,I4,I-MF,4294,,,,G3842115
2937337,1,A2,I4,I-MF,4145,,,,S3849511
2937337,1,A2,I4,,4145,,,,S3849511
2930053,1,A2,I4,,4294,,,,G3842115
2929993,1,A2,I4,,4314,,,,F3842055
2897200,2,B2,I5,,249,3354,,,Q3805864
2897200,2,B2,I5,,249,3354,,,Q3805864
2897200,2,B2,I5,,249,3354,,,Q3805864
2897200,2,B2,I5,A-SE,249,3354,,,Q3805864
2897200,2,B2,I5,A-SE,249,3354,,,Q3805864
2897200,2,B2,I5,A-MM,249,3354,,,Q3805864
